bytes,ratio (%),filename: [C:\Users\jeanf\.julia\packages\PatternFolds\HtkqG\src\,linenumber
80240,83.22,vector.jl,19
16128,16.73,vector.jl,85
48,0.05,common.jl,100
0,0.0,vector.jl,95
0,0.0,vector.jl,93
0,0.0,vector.jl,91
0,0.0,vector.jl,90
0,0.0,vector.jl,89
0,0.0,vector.jl,88
0,0.0,vector.jl,84
0,0.0,vector.jl,83
0,0.0,vector.jl,32
0,0.0,vector.jl,31
0,0.0,vector.jl,30
0,0.0,vector.jl,29
0,0.0,vector.jl,18
0,0.0,intervals.jl,58
0,0.0,intervals.jl,57
0,0.0,intervals.jl,56
0,0.0,intervals.jl,55
0,0.0,intervals.jl,51
0,0.0,intervals.jl,50
0,0.0,intervals.jl,49
0,0.0,intervals.jl,48
0,0.0,intervals.jl,47
0,0.0,intervals.jl,46
0,0.0,immutable_vector.jl,55
0,0.0,immutable_vector.jl,53
0,0.0,immutable_vector.jl,52
0,0.0,immutable_vector.jl,51
0,0.0,immutable_vector.jl,49
0,0.0,immutable_vector.jl,48
0,0.0,immutable_vector.jl,46
0,0.0,immutable_vector.jl,35
0,0.0,immutable_vector.jl,33
0,0.0,immutable_vector.jl,31
0,0.0,immutable_vector.jl,30
0,0.0,immutable_vector.jl,29
0,0.0,immutable_vector.jl,26
0,0.0,immutable_vector.jl,25
0,0.0,immutable_vector.jl,24
0,0.0,common.jl,117
0,0.0,common.jl,116
